tier,bear_max,rt_cost,n_trans,cagr,mdd,sharpe,calmar,total_return,n_days
T1,None,0.0,29,1.4175681054360214,-0.3398643239671676,1.8875298759642556,4.170982375817018,1129.7966189040974,2004
T1,None,0.0005,29,1.4133465331513348,-0.34019439180518385,1.884344841778205,4.154526256742949,1114.1653634027975,2004
T1,None,0.001,29,1.4091302371860572,-0.34052445964320055,1.8811542948602553,4.138117533943187,1098.7425639943544,2004
T1,None,0.002,29,1.400713458318033,-0.3411845953192332,1.8747567720920424,4.10544168035324,1068.511653570805,2004
T1,None,0.004,29,1.383943041619239,-0.34250486667129865,1.8618967836638227,4.0406521958924655,1010.4356589521275,2004
T1,None,0.007,29,1.3589447929352798,-0.3444852736993975,1.8424478103130968,3.944855982787564,928.9860264991366,2004
T1,60,0.0,34,1.5088039639830297,-0.3398643239671676,1.9490230041434813,4.439430259613795,1517.8538060404544,2004
T1,60,0.0005,34,1.5036589163519354,-0.34019439180518385,1.9453329878579961,4.419999131593629,1493.22222464938,2004
T1,60,0.001,34,1.4985218756036858,-0.34052445964320055,1.9416361570893605,4.400629185855923,1468.9781756552054,2004
T1,60,0.002,34,1.488271780766222,-0.3411845953192332,1.934222195685285,4.362072031340406,1421.6291247469576,2004
T1,60,0.004,34,1.4678673000703149,-0.34250486667129865,1.9193140902851538,4.2856830454296135,1331.327176829578,2004
T1,60,0.007,34,1.437498834820218,-0.3444852736993975,1.8967559139404726,4.17288907413383,1206.2110031054142,2004
T2GE,None,0.0,49,1.8791312889180571,-0.29075358625917047,2.1926158326683813,6.4629685676277315,4546.217127185636,2004
T2GE,None,0.0005,49,1.8705661856577835,-0.29144953781777905,2.187324090500846,6.418147716629095,4439.588280699541,2004
T2GE,None,0.001,49,1.8620223410801833,-0.29214514790962853,2.182021048414856,6.373620627976942,4335.408857762566,2004
T2GE,None,0.002,49,1.8449982589159353,-0.2935353436930477,2.1713813526934813,6.2854381884767685,4134.1791131724785,2004
T2GE,None,0.004,49,1.8112033426886809,-0.29631163765876967,2.1499695611136964,6.112494794330183,3758.7683189815225,2004
T2GE,None,0.007,49,1.7611390566109995,-0.30046583460456233,2.117529836028687,5.861362104376369,3257.419473510064,2004
T2GE,90,0.0,53,1.894364014125526,-0.2907535862591708,2.2048095339469334,6.515359065724249,4741.3933384574475,2004
T2GE,90,0.0005,53,1.885040382222837,-0.2914495378177798,2.1990762420106877,6.467810504477116,4621.079564947603,2004
T2GE,90,0.001,53,1.8757421925130222,-0.29214514790962864,2.1933305258933617,6.4205830763729095,4503.760841889739,2004
T2GE,90,0.002,53,1.8572219122211213,-0.2935353436930478,2.181802158512782,6.327081055572077,4277.8177768785845,2004
T2GE,90,0.004,53,1.820484161537038,-0.2963116376587701,2.1586000792638225,6.1438159362255345,3858.7695466465966,2004
T2GE,90,0.007,53,1.7661277989808029,-0.30046583460456255,2.1234441001576667,5.8779654642105,3304.6037047782147,2004
