date,strategy,leg,ticker,action,qty,price,pnl,side
2010-05-25,yangbyungi,SHORT,SOXS,STOP_BUY,9.64271683273525e-06,4146757142.3999996,0.0,
2010-05-25,yangbyungi,SHORT,SOXS,LOC_SELL,2.4106792081838125e-06,3670164000.0,-1155.5086103911653,loser
2010-05-26,yangbyungi,SHORT,SOXS,MOO_SELL,7.2320376245514376e-06,3487855200.0,-4784.528469625009,
2010-05-26,yangbyungi,SHORT,SOXS,STOP_BUY,1.0162819485129515e-05,3700825488.0,0.0,
2010-05-26,yangbyungi,SHORT,SOXS,LOC_SELL,2.540704871282379e-06,3687435360.0,-40.59035005107944,loser
2010-05-27,yangbyungi,SHORT,SOXS,MOO_SELL,7.622114613847136e-06,3429324480.0,-2088.4331878455305,
2010-06-01,yangbyungi,LONG,SOXL,STOP_BUY,75538.7484037171,0.6082889692568778,0.0,
2010-06-01,yangbyungi,LONG,SOXL,LOC_SELL,18884.687100929274,0.5615521075129509,-890.3432390558646,loser
2010-06-02,yangbyungi,LONG,SOXL,MOO_SELL,56654.06130278782,0.5815420884490013,-1538.912491536932,
2010-06-02,yangbyungi,LONG,SOXL,STOP_BUY,75712.52749747099,0.5908557802757619,0.0,
2010-06-03,yangbyungi,LONG,SOXL,MOO_SELL,75712.52749747099,0.6326835162043571,3134.46056823057,
2010-06-03,yangbyungi,LONG,SOXL,STOP_BUY,72029.70592418699,0.642816263963878,0.0,
2010-06-04,yangbyungi,LONG,SOXL,MOO_SELL,72029.70592418699,0.6286855081021786,-1049.8892537580978,
2010-06-07,yangbyungi,SHORT,SOXS,STOP_BUY,1.0408074459391765e-05,3518584012.7999997,0.0,
2010-06-08,yangbyungi,SHORT,SOXS,MOO_SELL,1.0408074459391765e-05,3518559840.0,-25.886683322773024,
2010-06-09,yangbyungi,LONG,SOXL,STOP_BUY,88886.22032577325,0.5148623320381343,0.0,
2010-06-09,yangbyungi,LONG,SOXL,LOC_SELL,22221.55508144331,0.48342515273392206,-706.3472366292517,loser
