year,CHAMP_start_$,CHAMP_end_$,CHAMP_ret_%,CHAMP_mdd_%,CHAMP_sharpe,CHAMP_days
2010,97240.31982910231,107509.68428754577,10.560809010595218,-14.65703855600311,0.826115625371378,154
2011,106571.22072639053,141625.5487056613,32.89286520351378,-19.427306656132814,1.421389401841698,252
2012,138704.07901391736,197371.27998489866,42.29666595824821,-14.570080330435175,1.668940426437636,250
2013,203626.63273275667,312568.33636439836,53.50071460181673,-15.43827708068518,1.8089097349656906,252
2014,307126.1038681768,535831.4115253112,74.46625499319268,-7.459307078034816,2.7920124874474173,252
2015,531502.0721447715,553965.3235610977,4.226371371550863,-18.872104602261743,0.2886168667116593,252
2016,553965.3235610977,1070679.7663305288,93.27559339775927,-13.958920996498769,2.563701368358205,252
2017,1034265.1664156731,2281075.595546011,120.5503646082616,-7.27258374969132,3.5324954945658122,251
2018,2389869.568068872,2221319.89399787,-7.052672510793068,-22.730687933247296,-0.11888869830574716,251
2019,2221319.89399787,4227167.407047294,90.29980411508203,-18.104934351613455,2.111878079116026,252
2020,4382905.837151162,6174317.626575018,40.87269624273409,-11.998884397545096,1.4507033164874557,253
2021,6021969.363569526,14897214.760541767,147.38111174500287,-15.456280833657354,3.0981765041459,252
2022,15337020.543932429,13967533.49781646,-8.929290028614844,-23.4785457870643,-0.18829040194165467,251
2023,14169964.165892633,25866350.500850584,82.54351385807574,-21.048558651367998,1.7414006438529623,250
2024,25866350.500850584,48230526.160770245,86.46049878271091,-15.785336254714222,1.5757773721411952,252
2025,47485210.371388085,85365489.37828852,79.7727939091641,-16.700749669455472,1.896413490490631,250
2026,87449106.62116845,158202726.82117844,80.90833964321249,-30.082492992250643,2.0850524574348017,144
