date,equity,cash,n_pos
2026-06-29,4794.40,4794.40,0
2026-06-30,4983.75,1785.75,1
2026-07-01,4633.75,4633.75,0
2026-07-02,4367.31,4367.31,0
2026-07-03,4367.31,4367.31,0
2026-07-06,4271.12,1346.12,1
2026-07-07,3827.04,3827.04,0
2026-07-08,3827.04,3827.04,0
2026-07-09,3703.04,1189.75,1
2026-07-10,3552.95,3552.95,0
2026-07-13,3552.95,3552.95,0
2026-07-14,3552.95,3552.95,0
2026-07-15,3552.95,3552.95,0
2026-07-16,3552.95,3552.95,0
2026-07-17,3552.95,3552.95,0
2026-07-20,3442.48,2346.64,1
2026-07-21,3588.92,2010.99,1
2026-07-22,3480.93,3480.93,0
2026-07-23,3480.93,3480.93,0
2026-07-24,3406.10,3406.10,0
2026-07-27,3406.10,3406.10,0
2026-07-28,3406.10,3406.10,0
2026-07-29,3256.47,1473.13,2
2026-07-30,3272.30,2127.10,1
2026-07-31,3252.93,2331.28,1
2026-08-03,3178.52,3178.52,0
2026-08-04,3237.67,1837.76,1
2026-08-05,3121.38,3121.38,0
2026-08-06,3121.38,3121.38,0
2026-08-07,3121.38,3121.38,0
2026-08-10,3121.38,3121.38,0
2026-08-11,3121.38,3121.38,0
2026-08-12,3121.38,3121.38,0
2026-08-13,3130.33,802.33,1
2026-08-14,3091.54,624.84,1
2026-08-18,2865.12,2865.12,0
2026-08-19,2865.12,2865.12,0
2026-08-20,2856.49,1878.46,1
2026-08-24,2913.83,2913.83,0
2026-08-25,2884.74,2191.80,1
2026-08-26,2876.61,2061.28,1
2026-08-27,2923.64,2923.64,0
2026-08-28,2923.64,2923.64,0
2026-08-31,2909.04,2008.24,1
2026-09-01,2858.36,2858.36,0
