vary_strategy,h,h_lb,h_yb,h_gb,cagr,mdd,calmar,sharpe,vol,final
longbyungi,3,3,7,7,0.523376752498548,-0.273512660902532,1.9135375699666666,1.4553462537755102,0.3262101941656405,2857275.391121341
longbyungi,5,5,7,7,0.6960072738842504,-0.3010786536647012,2.311712455906505,1.4944882877641876,0.41068499233238615,6718245.647199067
longbyungi,7,7,7,7,0.9654915681627236,-0.32526327410006806,2.968338712183312,1.5994802218835902,0.5025674845054443,21743238.839751594
longbyungi,10,10,7,7,0.8362696700883727,-0.323325023548689,2.586467514669307,1.5425329046438316,0.46530946555288377,12650207.387905018
longbyungi,14,14,7,7,0.8885998259980616,-0.38254220053346455,2.322880520786693,1.6515494006552096,0.4466438655815441,15823085.439308055
longbyungi,21,21,7,7,0.6342403495802651,-0.42205959720681885,1.502726993480669,1.3948870017739436,0.41507097460233994,4999597.92575623
longbyungi,30,30,7,7,0.44120303470889977,-0.46959684370873467,0.9395357754630778,1.1217444965987864,0.3977590143083352,1837181.1794570927
longbyungi,45,45,7,7,0.5708112689360105,-0.4709838661224426,1.2119550370916858,1.2906686031001653,0.42025905195244895,3647636.9655815284
yangbyungi,3,7,3,7,0.8180351473974492,-0.3815382083322614,2.1440451559836067,1.5597712108218842,0.4491821612752286,11683646.818954982
yangbyungi,5,7,5,7,0.9094093192668091,-0.3266932896664082,2.783679212375074,1.6155407016246348,0.4700015552709861,17266110.96585005
yangbyungi,7,7,7,7,0.9654915681627236,-0.32526327410006806,2.968338712183312,1.5994802218835902,0.5025674845054443,21743238.839751594
yangbyungi,10,7,10,7,0.6363503957189238,-0.2904179795067079,2.191153580779684,1.4343981788526612,0.3997779925824498,5051241.6823597625
yangbyungi,14,7,14,7,0.4644843214902785,-0.3150046909670069,1.4745314428950136,1.25217176694438,0.3556076889834724,2087280.1919956433
yangbyungi,21,7,21,7,0.444101153736552,-0.24574449790592456,1.8071662133675195,1.3603967242491535,0.3044798096141067,1866811.6898509169
yangbyungi,30,7,30,7,0.30719783991480165,-0.22903394430130486,1.3412764682193505,1.1403705301732405,0.26598590711312153,844480.7319678436
yangbyungi,45,7,45,7,0.2648700888950939,-0.26385826586481576,1.003834721747154,1.067305742142736,0.24921840282564756,649733.6458327689
goldenbyungi,3,7,7,3,0.9558591188192156,-0.3248221955249312,2.9427149129217995,1.6043703152344855,0.4958532524392585,20908903.069996
goldenbyungi,5,7,7,5,0.9656804665188725,-0.3244765703200464,2.9761177072550318,1.607570005674493,0.4989391530660569,21759887.53000842
goldenbyungi,7,7,7,7,0.9654915681627236,-0.32526327410006806,2.968338712183312,1.5994802218835902,0.5025674845054443,21743238.839751594
goldenbyungi,10,7,7,10,0.544261464542988,-0.3181675501769301,1.7106127392322978,1.3632433587609232,0.36982742230200705,3184562.013349311
goldenbyungi,14,7,7,14,0.36620828289880003,-0.3721052624799889,0.9841523886496876,1.1522210692133743,0.314381853191271,1200361.3017624153
goldenbyungi,21,7,7,21,0.2755277320588103,-0.24413756284470978,1.1285757457735708,1.1437818535096589,0.23799973257461002,694636.3741359442
goldenbyungi,30,7,7,30,0.1700389137648055,-0.30927228195345735,0.5498032759055815,0.8906409079134033,0.19875106942302717,349281.0777470089
goldenbyungi,45,7,7,45,0.15265597913321294,-0.22637414993182392,0.6743525229324446,0.9113822025410946,0.17246374515165486,310028.5146838797
